diveintodeeplearning/d2l-en, 12, 8, 9, 2
GoogleChromeLabs/squoosh, 18, 12, 5, 1
Antergos/Cnchi, 21, 15, 5, 1
minimaxir/big-list-of-naughty-strings, 12, 5, 7, 0
sindresorhus/awesome, 113, 7, 106, 0
torvalds/linux, 30, 23, 7, 0
firecracker-microvm/firecracker, 67, 18, 40, 9
facebook/facebook-android-sdk, 14, 9, 5, 0
PyGithub/PyGithub, 54, 15, 39, 0
mozilla/thimble.mozilla.org, 231, 137, 87, 7
brigade/scss-lint, 46, 23, 23, 0
airbnb/lottie-android, 32, 16, 12, 4
apache/incubator-superset, 812, 537, 241, 34
ruby/rdoc, 34, 21, 13, 0
linkedin/css-blocks, 13, 8, 2, 3
d3/d3, 132, 75, 57, 0
electron/electron, 1148, 664, 390, 94
vim/vim, 208, 131, 77, 0
ethereum/aleth, 35, 17, 14, 4
randombit/botan, 131, 79, 48, 4
nasa/openmct, 103, 53, 45, 5
ianstormtaylor/slate, 225, 149, 60, 16
kanaka/mal, 100, 26, 71, 3
infernojs/inferno, 28, 22, 5, 1
palantir/plottable, 46, 21, 24, 1
Semantic-Org/Semantic-UI, 87, 60, 27, 0
BoltsFramework/Bolts-ObjC, 20, 13, 7, 0
JohnCoates/Aerial, 16, 12, 4, 0
apple/swift-evolution, 141, 54, 85, 2
dvyukov/go-fuzz, 27, 14, 13, 0
